Date,Component,Avg_Price
2021-06-25,2TB_NVME_GEN4,408.27
2021-06-26,2TB_NVME_GEN4,408.27
2021-06-27,2TB_NVME_GEN4,403.07
2021-06-28,2TB_NVME_GEN4,403.08
2021-06-29,2TB_NVME_GEN4,401.86
2021-06-30,2TB_NVME_GEN4,408.46
2021-07-01,2TB_NVME_GEN4,413.1
2021-07-02,2TB_NVME_GEN4,406.18
2021-07-03,2TB_NVME_GEN4,408.84
2021-07-04,2TB_NVME_GEN4,409.67
2021-07-05,2TB_NVME_GEN4,409.37
2021-07-06,2TB_NVME_GEN4,410.32
2021-07-07,2TB_NVME_GEN4,404.48
2021-07-08,2TB_NVME_GEN4,400.1
2021-07-09,2TB_NVME_GEN4,392.84
2021-07-10,2TB_NVME_GEN4,387.43
2021-07-11,2TB_NVME_GEN4,388.23
2021-07-12,2TB_NVME_GEN4,388.27
2021-07-13,2TB_NVME_GEN4,388.27
2021-07-14,2TB_NVME_GEN4,388.27
2021-07-15,2TB_NVME_GEN4,387.47
2021-07-16,2TB_NVME_GEN4,384.23
2021-07-17,2TB_NVME_GEN4,388.26
2021-07-18,2TB_NVME_GEN4,384.02
2021-07-19,2TB_NVME_GEN4,386.25
2021-07-20,2TB_NVME_GEN4,384.43
2021-07-21,2TB_NVME_GEN4,384.43
2021-07-22,2TB_NVME_GEN4,384.43
2021-07-23,2TB_NVME_GEN4,384.69
2021-07-24,2TB_NVME_GEN4,378.6
2021-07-25,2TB_NVME_GEN4,378.99
2021-07-26,2TB_NVME_GEN4,378.34
2021-07-27,2TB_NVME_GEN4,380.53
2021-07-28,2TB_NVME_GEN4,380.45
2021-07-29,2TB_NVME_GEN4,380.53
2021-07-30,2TB_NVME_GEN4,380.53
2021-07-31,2TB_NVME_GEN4,375.72
2021-08-01,2TB_NVME_GEN4,373.04
2021-08-02,2TB_NVME_GEN4,366.76
2021-08-03,2TB_NVME_GEN4,366.41
2021-08-04,2TB_NVME_GEN4,363.95
2021-08-05,2TB_NVME_GEN4,363.92
2021-08-06,2TB_NVME_GEN4,361.88
2021-08-07,2TB_NVME_GEN4,361.51
2021-08-08,2TB_NVME_GEN4,356.33
2021-08-09,2TB_NVME_GEN4,355.77
2021-08-10,2TB_NVME_GEN4,359.47
2021-08-11,2TB_NVME_GEN4,357.73
2021-08-12,2TB_NVME_GEN4,357.73
2021-08-13,2TB_NVME_GEN4,356.25
2021-08-14,2TB_NVME_GEN4,356.25
2021-08-15,2TB_NVME_GEN4,352.62
2021-08-16,2TB_NVME_GEN4,352.25
2021-08-17,2TB_NVME_GEN4,350.25
2021-08-18,2TB_NVME_GEN4,346.02
2021-08-19,2TB_NVME_GEN4,346.02
2021-08-20,2TB_NVME_GEN4,345.99
2021-08-21,2TB_NVME_GEN4,345.96
2021-08-22,2TB_NVME_GEN4,340.22
2021-08-23,2TB_NVME_GEN4,336.86
2021-08-24,2TB_NVME_GEN4,336.86
2021-08-25,2TB_NVME_GEN4,336.86
2021-08-26,2TB_NVME_GEN4,336.86
2021-08-27,2TB_NVME_GEN4,335.49
2021-08-28,2TB_NVME_GEN4,336.83
2021-08-29,2TB_NVME_GEN4,338.16
2021-08-30,2TB_NVME_GEN4,337.49
2021-08-31,2TB_NVME_GEN4,341.76
2021-09-01,2TB_NVME_GEN4,338.36
2021-09-02,2TB_NVME_GEN4,338.36
2021-09-03,2TB_NVME_GEN4,338.69
2021-09-04,2TB_NVME_GEN4,338.66
2021-09-05,2TB_NVME_GEN4,338.66
2021-09-06,2TB_NVME_GEN4,337.66
2021-09-07,2TB_NVME_GEN4,337.66
2021-09-08,2TB_NVME_GEN4,337.66
2021-09-09,2TB_NVME_GEN4,337.73
2021-09-10,2TB_NVME_GEN4,333.41
2021-09-11,2TB_NVME_GEN4,331.96
2021-09-12,2TB_NVME_GEN4,331.96
2021-09-13,2TB_NVME_GEN4,330.3
2021-09-14,2TB_NVME_GEN4,329.58
2021-09-15,2TB_NVME_GEN4,330.1
2021-09-16,2TB_NVME_GEN4,332.69
2021-09-17,2TB_NVME_GEN4,332.69
2021-09-18,2TB_NVME_GEN4,332.69
2021-09-19,2TB_NVME_GEN4,336.48
2021-09-20,2TB_NVME_GEN4,336.51
2021-09-21,2TB_NVME_GEN4,336.51
2021-09-22,2TB_NVME_GEN4,335.25
2021-09-23,2TB_NVME_GEN4,335.25
2021-09-24,2TB_NVME_GEN4,335.25
2021-09-25,2TB_NVME_GEN4,338.65
2021-09-26,2TB_NVME_GEN4,340.91
2021-09-27,2TB_NVME_GEN4,340.91
2021-09-28,2TB_NVME_GEN4,340.91
2021-09-29,2TB_NVME_GEN4,337.42
2021-09-30,2TB_NVME_GEN4,346.83
2021-10-01,2TB_NVME_GEN4,341.66
2021-10-02,2TB_NVME_GEN4,342.24
2021-10-03,2TB_NVME_GEN4,339.78
2021-10-04,2TB_NVME_GEN4,339.86
2021-10-05,2TB_NVME_GEN4,339.86
2021-10-06,2TB_NVME_GEN4,341.75
2021-10-07,2TB_NVME_GEN4,338.85
2021-10-08,2TB_NVME_GEN4,341.88
2021-10-09,2TB_NVME_GEN4,342.69
2021-10-10,2TB_NVME_GEN4,342.69
2021-10-11,2TB_NVME_GEN4,342.69
2021-10-12,2TB_NVME_GEN4,341.34
2021-10-13,2TB_NVME_GEN4,337.96
2021-10-14,2TB_NVME_GEN4,337.63
2021-10-15,2TB_NVME_GEN4,342.24
2021-10-16,2TB_NVME_GEN4,342.19
2021-10-17,2TB_NVME_GEN4,342.19
2021-10-18,2TB_NVME_GEN4,341.74
2021-10-19,2TB_NVME_GEN4,338.19
2021-10-20,2TB_NVME_GEN4,337.11
2021-10-21,2TB_NVME_GEN4,337.46
2021-10-22,2TB_NVME_GEN4,335.79
2021-10-23,2TB_NVME_GEN4,348.57
2021-10-24,2TB_NVME_GEN4,346.16
2021-10-25,2TB_NVME_GEN4,344.89
2021-10-26,2TB_NVME_GEN4,345.08
2021-10-27,2TB_NVME_GEN4,342.52
2021-10-28,2TB_NVME_GEN4,341.23
2021-10-29,2TB_NVME_GEN4,341.23
2021-10-30,2TB_NVME_GEN4,348.0
2021-10-31,2TB_NVME_GEN4,353.51
2021-11-01,2TB_NVME_GEN4,354.34
2021-11-02,2TB_NVME_GEN4,345.85
2021-11-03,2TB_NVME_GEN4,343.87
2021-11-04,2TB_NVME_GEN4,349.42
2021-11-05,2TB_NVME_GEN4,345.15
2021-11-06,2TB_NVME_GEN4,346.96
2021-11-07,2TB_NVME_GEN4,344.43
2021-11-08,2TB_NVME_GEN4,340.93
2021-11-09,2TB_NVME_GEN4,345.22
2021-11-10,2TB_NVME_GEN4,347.44
2021-11-11,2TB_NVME_GEN4,342.05
2021-11-12,2TB_NVME_GEN4,341.3
2021-11-13,2TB_NVME_GEN4,349.44
2021-11-14,2TB_NVME_GEN4,336.27
2021-11-15,2TB_NVME_GEN4,345.55
2021-11-16,2TB_NVME_GEN4,352.32
2021-11-17,2TB_NVME_GEN4,340.45
2021-11-18,2TB_NVME_GEN4,341.15
2021-11-19,2TB_NVME_GEN4,337.18
2021-11-20,2TB_NVME_GEN4,335.29
2021-11-21,2TB_NVME_GEN4,350.41
2021-11-22,2TB_NVME_GEN4,328.26
2021-11-23,2TB_NVME_GEN4,334.41
2021-11-24,2TB_NVME_GEN4,332.21
2021-11-25,2TB_NVME_GEN4,340.4
2021-11-26,2TB_NVME_GEN4,340.31
2021-11-27,2TB_NVME_GEN4,339.84
2021-11-28,2TB_NVME_GEN4,335.18
2021-11-29,2TB_NVME_GEN4,326.25
2021-11-30,2TB_NVME_GEN4,327.85
2021-12-01,2TB_NVME_GEN4,338.85
2021-12-02,2TB_NVME_GEN4,333.34
2021-12-03,2TB_NVME_GEN4,328.6
2021-12-04,2TB_NVME_GEN4,337.89
2021-12-05,2TB_NVME_GEN4,340.18
2021-12-06,2TB_NVME_GEN4,340.49
2021-12-07,2TB_NVME_GEN4,324.09
2021-12-08,2TB_NVME_GEN4,329.21
2021-12-09,2TB_NVME_GEN4,321.32
2021-12-10,2TB_NVME_GEN4,323.5
2021-12-11,2TB_NVME_GEN4,327.12
2021-12-12,2TB_NVME_GEN4,326.36
2021-12-13,2TB_NVME_GEN4,327.11
2021-12-14,2TB_NVME_GEN4,325.63
2021-12-15,2TB_NVME_GEN4,321.08
2021-12-16,2TB_NVME_GEN4,322.62
2021-12-17,2TB_NVME_GEN4,312.03
2021-12-18,2TB_NVME_GEN4,307.34
2021-12-19,2TB_NVME_GEN4,325.19
2021-12-20,2TB_NVME_GEN4,302.9
2021-12-21,2TB_NVME_GEN4,316.45
2021-12-22,2TB_NVME_GEN4,315.5
2021-12-23,2TB_NVME_GEN4,315.6
2021-12-24,2TB_NVME_GEN4,315.6
2021-12-25,2TB_NVME_GEN4,329.09
2021-12-26,2TB_NVME_GEN4,332.14
2021-12-27,2TB_NVME_GEN4,332.63
2021-12-28,2TB_NVME_GEN4,330.56
2021-12-29,2TB_NVME_GEN4,328.99
2021-12-30,2TB_NVME_GEN4,328.5
2021-12-31,2TB_NVME_GEN4,329.86
2022-01-01,2TB_NVME_GEN4,334.06
2022-01-02,2TB_NVME_GEN4,336.16
